,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
ENSG00000142619,52.75915583,2.825241533,0.326428153,8.655017989,4.93E-18,2.11E-15,PADI3
ENSG00000151224,20.57657685,2.780820279,0.516094888,5.388195739,7.12E-08,7.41E-06,MAT1A
ENSG00000079393,19.96030213,2.725338369,0.511010082,5.33323796,9.65E-08,9.83E-06,DUSP13
ENSG00000118785,50.48718687,2.671608667,0.343703287,7.773008782,7.66E-15,2.22E-12,SPP1
ENSG00000268621,78.92198641,2.639700004,0.275971219,9.565127882,1.12E-21,8.80E-19,IGFL2-AS1
ENSG00000130203,113.6719371,2.54206624,0.221953213,11.45316259,2.27E-30,4.27E-27,
ENSG00000136235,400.7867474,2.337500124,0.1269436,18.41369022,1.02E-75,9.62E-72,
ENSG00000166736,57.11397186,2.265752308,0.292562832,7.744498145,9.60E-15,2.66E-12,
ENSG00000268964,43.06471793,1.926702387,0.321622522,5.990570478,2.09E-09,3.06E-07,
ENSG00000160862,131.8030739,1.704872455,0.191085397,8.922044701,4.58E-19,2.40E-16,
ENSG00000118322,41.52435211,1.690404929,0.322325326,5.244406172,1.57E-07,1.52E-05,
ENSG00000168447,101.2241489,1.496978421,0.220573678,6.786750044,1.15E-11,2.28E-09,
ENSG00000188404,123.1098878,1.486578032,0.187760843,7.917401779,2.43E-15,7.88E-13,
ENSG00000116774,75.31464836,1.474955293,0.235974935,6.250474418,4.09E-10,6.59E-08,
ENSG00000149575,68.55054314,1.455968615,0.260265718,5.594162106,2.22E-08,2.56E-06,
ENSG00000137440,1434.125403,1.439662846,0.102915867,13.9887356,1.83E-44,4.92E-41,
ENSG00000181577,1802.487551,1.418119812,0.087375056,16.23025922,3.08E-59,1.45E-55,
ENSG00000140795,26.71790702,1.392877605,0.383038567,3.636389975,0.000276486,0.010949645,
ENSG00000163207,53.55968773,1.392423211,0.348193052,3.998997694,6.36E-05,0.003066846,
ENSG00000111863,80.72029322,1.382184929,0.228032912,6.061339646,1.35E-09,2.04E-07,
ENSG00000260604,353.640457,1.376427089,0.120564835,11.4164888,3.46E-30,5.93E-27,
ENSG00000116701,104.4337068,1.341386792,0.197391264,6.795573248,1.08E-11,2.16E-09,
ENSG00000269526,44.60379392,1.272031596,0.298177207,4.266025594,1.99E-05,0.001150639,
ENSG00000132718,23.41047456,1.271303721,0.405430188,3.135690828,0.001714498,0.046370173,
ENSG00000169174,393.8541799,1.266772818,0.145636008,8.698211649,3.37E-18,1.51E-15,
ENSG00000237686,74.11526069,1.261217925,0.256166198,4.923436172,8.50E-07,7.06E-05,
ENSG00000100078,32.02479612,1.253393273,0.356310068,3.517703781,0.000435298,0.015871958,
